Point Name,X Pos[µm],Y Pos[µm],Image,Well,CellLine,Condition
14,11260.1,-7929.7,0,A1,786O,NTC
15,12059.8,-7923.8,1,A1,786O,NTC
16,12859.8,-7917.7,2,A1,786O,NTC
17,12853.6,-7117.7,3,A1,786O,NTC
18,12053.8,-7122.8,4,A1,786O,NTC
19,11254.0,-7129.6,5,A1,786O,NTC
26,8048.1,-6353.7,6,A1,786O,NTC
27,8848.0,-6347.8,7,A1,786O,NTC
28,9648.0,-6341.7,8,A1,786O,NTC
29,10447.8,-6335.6,9,A1,786O,NTC
30,11247.9,-6329.7,10,A1,786O,NTC
31,12047.9,-6323.7,11,A1,786O,NTC
32,12847.9,-6317.8,12,A1,786O,NTC
33,12841.8,-5517.6,13,A1,786O,NTC
34,12041.7,-5523.7,14,A1,786O,NTC
36,10441.8,-5535.8,15,A1,786O,NTC
37,9641.9,-5541.8,16,A1,786O,NTC
38,8841.8,-5547.7,17,A1,786O,NTC
39,8041.9,-5553.9,18,A1,786O,NTC
43,8836.1,-4747.8,19,A1,786O,NTC
44,9635.8,-4741.9,20,A1,786O,NTC
45,10435.8,-4735.8,21,A1,786O,NTC
57,7223.7,-3159.9,22,A1,786O,NTC
58,8024.0,-3153.9,23,A1,786O,NTC
8,7329.3,2746.7,24,B1,786O,ALY kd5
9,7323.0,3546.6,25,B1,786O,ALY kd5
11,8923.2,3558.6,26,B1,786O,ALY kd5
12,9723.1,3564.6,27,B1,786O,ALY kd5
13,10523.2,3570.7,28,B1,786O,ALY kd5
14,11323.1,3576.7,29,B1,786O,ALY kd5
17,12917.1,4388.8,30,B1,786O,ALY kd5
18,12117.2,4382.7,31,B1,786O,ALY kd5
19,11317.3,4376.7,32,B1,786O,ALY kd5
20,10516.9,4370.7,33,B1,786O,ALY kd5
21,9717.1,4364.7,34,B1,786O,ALY kd5
22,8917.0,4358.7,35,B1,786O,ALY kd5
23,8117.2,4352.8,36,B1,786O,ALY kd5
24,7316.9,4346.7,37,B1,786O,ALY kd5
26,8111.3,5152.6,38,B1,786O,ALY kd5
27,8911.1,5158.4,39,B1,786O,ALY kd5
28,9711.3,5164.7,40,B1,786O,ALY kd5
29,10511.3,5170.5,41,B1,786O,ALY kd5
30,11311.1,5176.7,42,B1,786O,ALY kd5
31,12111.2,5182.6,43,B1,786O,ALY kd5
35,11305.0,5976.5,44,B1,786O,ALY kd5
36,10505.0,5970.6,45,B1,786O,ALY kd5
37,9705.1,5964.6,46,B1,786O,ALY kd5
38,8905.1,5958.6,47,B1,786O,ALY kd5
39,8105.0,5952.6,48,B1,786O,ALY kd5
41,7299.2,6746.5,49,B1,786O,ALY kd5
42,8099.3,6752.6,50,B1,786O,ALY kd5
43,8899.3,6758.6,51,B1,786O,ALY kd5
44,9699.2,6764.5,52,B1,786O,ALY kd5
45,10499.1,6770.6,53,B1,786O,ALY kd5
48,12899.1,6788.5,54,B1,786O,ALY kd5
52,10493.1,7570.6,55,B1,786O,ALY kd5
55,8093.4,7552.7,56,B1,786O,ALY kd5
56,7293.0,7546.7,57,B1,786O,ALY kd5
57,7287.0,8346.4,58,B1,786O,ALY kd5
58,8087.2,8352.4,59,B1,786O,ALY kd5
59,8887.3,8358.6,60,B1,786O,ALY kd5
60,9687.3,8364.5,61,B1,786O,ALY kd5
61,10487.2,8370.5,62,B1,786O,ALY kd5
63,12087.2,8382.6,63,B1,786O,ALY kd5
64,12886.9,8388.5,64,B1,786O,ALY kd5
1,1377.5,-8725.8,65,A2,786O,ALY kd8
2,577.4,-8731.7,66,A2,786O,ALY kd8
3,-222.4,-8737.8,67,A2,786O,ALY kd8
4,-1022.4,-8743.7,68,A2,786O,ALY kd8
5,-1822.6,-8749.7,69,A2,786O,ALY kd8
6,-2622.5,-8755.7,70,A2,786O,ALY kd8
7,-3422.5,-8761.6,71,A2,786O,ALY kd8
8,-4222.2,-8767.7,72,A2,786O,ALY kd8
9,-4228.4,-7968.0,73,A2,786O,ALY kd8
10,-3428.3,-7961.9,74,A2,786O,ALY kd8
11,-2628.3,-7955.9,75,A2,786O,ALY kd8
12,-1828.2,-7949.8,76,A2,786O,ALY kd8
13,-1028.3,-7944.0,77,A2,786O,ALY kd8
14,-228.5,-7937.9,78,A2,786O,ALY kd8
15,571.4,-7931.9,79,A2,786O,ALY kd8
16,1371.5,-7925.8,80,A2,786O,ALY kd8
18,565.3,-7132.0,81,A2,786O,ALY kd8
19,-234.5,-7137.7,82,A2,786O,ALY kd8
20,-1034.5,-7143.8,83,A2,786O,ALY kd8
21,-1834.3,-7149.9,84,A2,786O,ALY kd8
22,-2634.5,-7155.8,85,A2,786O,ALY kd8
23,-3434.5,-7161.8,86,A2,786O,ALY kd8
24,-4234.4,-7167.7,87,A2,786O,ALY kd8
25,-4240.5,-6368.5,88,A2,786O,ALY kd8
26,-3440.4,-6361.9,89,A2,786O,ALY kd8
27,-2640.5,-6356.1,90,A2,786O,ALY kd8
28,-1840.2,-6349.8,91,A2,786O,ALY kd8
29,-1040.4,-6344.2,92,A2,786O,ALY kd8
30,-240.7,-6337.8,93,A2,786O,ALY kd8
31,559.3,-6331.8,94,A2,786O,ALY kd8
32,1359.5,-6325.8,95,A2,786O,ALY kd8
33,1353.4,-5525.6,96,A2,786O,ALY kd8
34,553.3,-5531.8,97,A2,786O,ALY kd8
35,-246.8,-5537.7,98,A2,786O,ALY kd8
36,-1046.3,-5543.8,99,A2,786O,ALY kd8
37,-1846.5,-5549.8,100,A2,786O,ALY kd8
38,-2646.5,-5555.9,101,A2,786O,ALY kd8
39,-3446.4,-5561.7,102,A2,786O,ALY kd8
40,-4246.3,-5567.9,103,A2,786O,ALY kd8
41,-4252.5,-4768.0,104,A2,786O,ALY kd8
42,-3452.3,-4761.9,105,A2,786O,ALY kd8
43,-2652.4,-4756.0,106,A2,786O,ALY kd8
44,-1852.2,-4749.8,107,A2,786O,ALY kd8
45,-1052.6,-4744.0,108,A2,786O,ALY kd8
46,-252.4,-4738.0,109,A2,786O,ALY kd8
47,547.3,-4732.0,110,A2,786O,ALY kd8
48,1347.5,-4725.8,111,A2,786O,ALY kd8
49,1341.3,-3925.7,112,A2,786O,ALY kd8
50,541.5,-3931.5,113,A2,786O,ALY kd8
51,-258.5,-3937.9,114,A2,786O,ALY kd8
52,-1058.5,-3943.9,115,A2,786O,ALY kd8
53,-1858.6,-3949.7,116,A2,786O,ALY kd8
54,-2658.6,-3955.9,117,A2,786O,ALY kd8
55,-3458.6,-3961.9,118,A2,786O,ALY kd8
56,-4258.4,-3967.8,119,A2,786O,ALY kd8
57,-4264.3,-3167.9,120,A2,786O,ALY kd8
58,-3464.3,-3162.0,121,A2,786O,ALY kd8
59,-2664.3,-3156.0,122,A2,786O,ALY kd8
60,-1864.5,-3150.0,123,A2,786O,ALY kd8
61,-1064.3,-3144.0,124,A2,786O,ALY kd8
62,-264.4,-3138.1,125,A2,786O,ALY kd8
63,535.3,-3132.1,126,A2,786O,ALY kd8
64,1335.4,-3126.1,127,A2,786O,ALY kd8
1,1421.6,2789.2,128,B2,786O,SART1 kd4
2,621.4,2782.9,129,B2,786O,SART1 kd4
4,-978.3,2771.2,130,B2,786O,SART1 kd4
5,-1778.3,2765.2,131,B2,786O,SART1 kd4
6,-2578.2,2759.2,132,B2,786O,SART1 kd4
8,-4178.2,2747.3,133,B2,786O,SART1 kd4
10,-3384.1,3553.3,134,B2,786O,SART1 kd4
11,-2584.1,3559.2,135,B2,786O,SART1 kd4
12,-1784.2,3565.0,136,B2,786O,SART1 kd4
13,-984.3,3571.1,137,B2,786O,SART1 kd4
14,-184.5,3577.0,138,B2,786O,SART1 kd4
15,615.6,3583.1,139,B2,786O,SART1 kd4
16,1415.6,3589.2,140,B2,786O,SART1 kd4
17,1409.6,4389.3,141,B2,786O,SART1 kd4
18,609.8,4383.2,142,B2,786O,SART1 kd4
19,-190.3,4377.2,143,B2,786O,SART1 kd4
20,-990.2,4371.3,144,B2,786O,SART1 kd4
21,-1790.3,4365.3,145,B2,786O,SART1 kd4
22,-2590.3,4359.4,146,B2,786O,SART1 kd4
23,-3390.3,4353.4,147,B2,786O,SART1 kd4
24,-4190.4,4347.3,148,B2,786O,SART1 kd4
25,-4196.2,5147.0,149,B2,786O,SART1 kd4
26,-3396.1,5153.1,150,B2,786O,SART1 kd4
27,-2596.2,5159.2,151,B2,786O,SART1 kd4
28,-1796.3,5165.0,152,B2,786O,SART1 kd4
29,-996.3,5171.0,153,B2,786O,SART1 kd4
30,-196.2,5177.2,154,B2,786O,SART1 kd4
31,603.5,5183.1,155,B2,786O,SART1 kd4
32,1403.7,5189.2,156,B2,786O,SART1 kd4
33,1397.6,5989.1,157,B2,786O,SART1 kd4
34,597.6,5983.2,158,B2,786O,SART1 kd4
35,-202.3,5977.0,159,B2,786O,SART1 kd4
36,-1002.4,5971.2,160,B2,786O,SART1 kd4
37,-1802.3,5965.0,161,B2,786O,SART1 kd4
38,-2602.3,5959.0,162,B2,786O,SART1 kd4
39,-3402.0,5953.4,163,B2,786O,SART1 kd4
40,-4202.2,5947.2,164,B2,786O,SART1 kd4
41,-4208.2,6746.9,165,B2,786O,SART1 kd4
42,-3408.1,6753.1,166,B2,786O,SART1 kd4
43,-2608.1,6759.0,167,B2,786O,SART1 kd4
