Point Name,X Pos[µm],Y Pos[µm],Image,Well,CellLine,Condition
5,9665.6,-8741.5,0,A1,786O,NTC
6,8865.5,-8747.5,1,A1,786O,NTC
7,8065.5,-8753.4,2,A1,786O,NTC
10,8059.7,-7953.5,3,A1,786O,NTC
11,8859.7,-7947.5,4,A1,786O,NTC
12,9659.7,-7941.6,5,A1,786O,NTC
13,10459.5,-7935.7,6,A1,786O,NTC
14,11259.5,-7929.5,7,A1,786O,NTC
15,12059.6,-7923.5,8,A1,786O,NTC
16,12859.8,-7917.6,9,A1,786O,NTC
17,12853.6,-7117.5,10,A1,786O,NTC
23,8053.5,-7153.4,11,A1,786O,NTC
24,7253.8,-7159.4,12,A1,786O,NTC
25,7247.5,-6359.7,13,A1,786O,NTC
31,12047.6,-6323.5,14,A1,786O,NTC
32,12847.4,-6318.0,15,A1,786O,NTC
33,12841.7,-5517.4,16,A1,786O,NTC
34,12041.4,-5523.6,17,A1,786O,NTC
35,11241.6,-5529.5,18,A1,786O,NTC
36,10441.4,-5535.6,19,A1,786O,NTC
37,9641.5,-5541.7,20,A1,786O,NTC
40,7241.3,-5559.7,21,A1,786O,NTC
41,7235.5,-4759.7,22,A1,786O,NTC
42,8035.4,-4753.7,23,A1,786O,NTC
43,8835.8,-4747.6,24,A1,786O,NTC
44,9635.5,-4741.7,25,A1,786O,NTC
45,10435.7,-4735.7,26,A1,786O,NTC
46,11235.6,-4729.7,27,A1,786O,NTC
47,12035.6,-4723.7,28,A1,786O,NTC
48,12835.7,-4717.7,29,A1,786O,NTC
53,9629.2,-3941.6,30,A1,786O,NTC
56,7229.5,-3959.5,31,A1,786O,NTC
60,9623.5,-3141.7,32,A1,786O,NTC
1,12929.1,2788.3,33,B1,786O,DDX39A kd1
5,9729.1,2764.3,34,B1,786O,DDX39A kd1
6,8929.0,2758.4,35,B1,786O,DDX39A kd1
13,10523.3,3570.4,36,B1,786O,DDX39A kd1
16,12923.0,3588.3,37,B1,786O,DDX39A kd1
17,12917.1,4388.3,38,B1,786O,DDX39A kd1
18,12117.0,4382.2,39,B1,786O,DDX39A kd1
19,11316.9,4377.0,40,B1,786O,DDX39A kd1
20,10517.1,4370.4,41,B1,786O,DDX39A kd1
21,9716.9,4364.3,42,B1,786O,DDX39A kd1
22,8916.8,4358.3,43,B1,786O,DDX39A kd1
27,8911.0,5158.2,44,B1,786O,DDX39A kd1
28,9711.1,5164.1,45,B1,786O,DDX39A kd1
29,10511.0,5170.2,46,B1,786O,DDX39A kd1
30,11311.1,5176.0,47,B1,786O,DDX39A kd1
31,12111.1,5182.2,48,B1,786O,DDX39A kd1
32,12910.9,5188.3,49,B1,786O,DDX39A kd1
33,12905.0,5988.4,50,B1,786O,DDX39A kd1
34,12104.9,5983.1,51,B1,786O,DDX39A kd1
35,11305.0,5976.3,52,B1,786O,DDX39A kd1
36,10505.0,5970.2,53,B1,786O,DDX39A kd1
37,9705.0,5964.2,54,B1,786O,DDX39A kd1
38,8905.0,5958.3,55,B1,786O,DDX39A kd1
43,8899.2,6758.1,56,B1,786O,DDX39A kd1
44,9699.0,6764.1,57,B1,786O,DDX39A kd1
48,12899.1,6788.1,58,B1,786O,DDX39A kd1
49,12892.9,7587.9,59,B1,786O,DDX39A kd1
1,1377.3,-8725.7,60,A2,786O,DDX39A kd4
2,577.0,-8731.8,61,A2,786O,DDX39A kd4
3,-222.6,-8737.7,62,A2,786O,DDX39A kd4
4,-1022.6,-8743.7,63,A2,786O,DDX39A kd4
5,-1822.7,-8749.7,64,A2,786O,DDX39A kd4
6,-2622.4,-8755.8,65,A2,786O,DDX39A kd4
7,-3422.6,-8761.7,66,A2,786O,DDX39A kd4
8,-4222.3,-8767.7,67,A2,786O,DDX39A kd4
9,-4228.4,-7967.8,68,A2,786O,DDX39A kd4
10,-3428.4,-7961.8,69,A2,786O,DDX39A kd4
11,-2628.4,-7955.8,70,A2,786O,DDX39A kd4
12,-1828.4,-7949.9,71,A2,786O,DDX39A kd4
13,-1028.5,-7943.8,72,A2,786O,DDX39A kd4
14,-228.6,-7937.9,73,A2,786O,DDX39A kd4
15,571.2,-7931.9,74,A2,786O,DDX39A kd4
17,1365.3,-7125.5,75,A2,786O,DDX39A kd4
18,565.3,-7131.9,76,A2,786O,DDX39A kd4
19,-234.5,-7137.8,77,A2,786O,DDX39A kd4
20,-1034.6,-7143.9,78,A2,786O,DDX39A kd4
21,-1834.4,-7149.8,79,A2,786O,DDX39A kd4
22,-2634.6,-7155.8,80,A2,786O,DDX39A kd4
24,-4234.4,-7167.9,81,A2,786O,DDX39A kd4
25,-4240.4,-6368.4,82,A2,786O,DDX39A kd4
27,-2640.5,-6356.0,83,A2,786O,DDX39A kd4
28,-1840.3,-6349.8,84,A2,786O,DDX39A kd4
29,-1040.6,-6343.9,85,A2,786O,DDX39A kd4
30,-240.5,-6337.8,86,A2,786O,DDX39A kd4
31,559.3,-6331.8,87,A2,786O,DDX39A kd4
32,1359.4,-6325.8,88,A2,786O,DDX39A kd4
33,1353.4,-5525.6,89,A2,786O,DDX39A kd4
